name, latitude, longitude, description, media, link
"willy T satrbucks", 38.0326429,-84.5015191, "The quiet spot for students to learn/study", "Willy_T_Starbys.jpg", "https://www.instagram.com/p/CSZs3i-gakr/"
"Sumo Hibachi and Sushi", 38.0369562,-84.5155733, "Expeirence the cultural and different food of sushi", "Sumo_Hibachi_&_Sushi.jpg", "https://www.instagram.com/p/CSZs5LogdnA/"
"Skyline",38.0072326,-84.4553365,"Unique Cincinati chain that contains one of a kind chili","skyline.jpg","https://www.instagram.com/p/CSX1KmEg4pR/"
"Girlsgirlsgirls Burritos", 38.0417922,-84.506075,"unique stylistic and customizable burritos","girls.jpg","https://www.instagram.com/p/CSX1AppAOhV/"  
"Carson's Food & Drink", 38.0417114,-84.4944065,"Rustic, relaxing family friendly spot to grab a bite to ea and watch your fav sports team","carsons.jpg" ,"https://www.instagram.com/p/CSZs3gzA4BV/"
"Ginger Wasabi Sushi & Grill", 38.0436233,-84.5036096,"Affordable food full of protein and vitamins","sushi2.jpg","https://www.instagram.com/p/CSX1G0BACg1/"
"DV8 Kitchen",38.0399344,-84.5168438,"delicous baked goods cooked by people who are looking for a second chance opportunity","Dv8.jpg", "https://www.instagram.com/p/CSX1NLnAkcO/"
"Cook Out", 38.0403599,-84.5157538,"Open 24/7 with yummy burgers shakes and more","cookout.jpg","https://www.instagram.com/p/CSX1JmGg85T/"
"Thursday Night Live",38.0480212,-84.49821,"Get your Rock 'n Roll on.","boyd-rock.jpg","https://www.tiktok.com/@boyd.lex/video/6993095061537852678?is_copy_url=0&is_from_webapp=v1&sender_device=pc&sender_web_id=6977039185053042182"
"Arboretum Woods",38.0147466,-84.5102961,"Wander to wonder.","boyd-woods.jpg","https://www.tiktok.com/@boyd.lex/video/6993812473883233542?is_copy_url=0&is_from_webapp=v1&sender_device=pc&sender_web_id=6977039185053042182"
"The Great Lawn",38.0170196,-84.4981217,"The field to explore rocket launches.","boyd-rocket.jpg","https://www.tiktok.com/@boyd.lex/video/6993819308627348741?is_copy_url=0&is_from_webapp=v1&sender_device=pc&sender_web_id=6977039185053042182"
